rank,feature_index,group,mean_abs_shap,pct_of_total
1,524,visual,0.0477902926504612,0.016857722774147987
2,529,visual,0.03907249495387077,0.01378257479518652
3,514,visual,0.03310014307498932,0.011675865389406681
4,279,visual,0.03079839050769806,0.010863936506211758
5,526,visual,0.022764654830098152,0.008030087687075138
6,107,visual,0.022148819640278816,0.007812855765223503
7,298,visual,0.02108004316687584,0.007435851264744997
8,429,visual,0.02103339694440365,0.007419397123157978
9,525,visual,0.02065008319914341,0.007284185849130154
10,534,sentiment,0.020044786855578423,0.007070671301335096
11,533,sentiment,0.01973690465092659,0.006962067913264036
12,471,visual,0.01972331292927265,0.006957273464649916
13,484,visual,0.019399801269173622,0.006843156646937132
14,289,visual,0.019275592640042305,0.006799343042075634
15,519,visual,0.018943946808576584,0.00668235681951046
16,34,visual,0.017594454810023308,0.006206332240253687
17,285,visual,0.016748297959566116,0.005907855927944183
18,470,visual,0.016368018463253975,0.005773714743554592
19,314,visual,0.01630687341094017,0.005752146244049072
20,419,visual,0.016118500381708145,0.005685698706656694
21,532,sentiment,0.01603977009654045,0.005657927133142948
22,515,visual,0.016037773340940475,0.0056572225876152515
23,478,visual,0.015950415283441544,0.005626407917588949
24,50,visual,0.015587495639920235,0.005498390179127455
25,123,visual,0.015559312887489796,0.005488448776304722
26,370,visual,0.015213444828987122,0.0053664459846913815
27,162,visual,0.014809902757406235,0.005224098917096853
28,64,visual,0.014674383215606213,0.005176295526325703
29,528,visual,0.014501171186566353,0.005115196108818054
30,42,visual,0.014289154671132565,0.005040408577769995
31,522,visual,0.013918792828917503,0.0049097659066319466
32,109,visual,0.013869665563106537,0.004892436321824789
33,516,visual,0.013848722912371159,0.004885049071162939
34,498,visual,0.013842427171766758,0.0048828283324837685
35,218,visual,0.013815125450491905,0.004873197991400957
36,393,visual,0.013442753814160824,0.004741846118122339
37,521,visual,0.013180452398955822,0.004649321082979441
38,422,visual,0.012729237787425518,0.004490157589316368
39,194,visual,0.012664295732975006,0.004467249847948551
40,225,visual,0.012625136412680149,0.004453436471521854
41,410,visual,0.012522238306701183,0.004417140036821365
42,527,visual,0.012498019263148308,0.004408597014844418
43,428,visual,0.012399742379784584,0.004373930394649506
44,143,visual,0.012228360399603844,0.004313476383686066
45,530,visual,0.012195819988846779,0.00430199783295393
46,274,visual,0.011694492772221565,0.0041251578368246555
47,513,visual,0.01159091666340828,0.00408862205222249
48,512,visual,0.011509009636938572,0.004059730097651482
49,465,visual,0.011456840671598911,0.004041327629238367
50,355,visual,0.011266530491411686,0.003974196966737509
